9.289210852382742134e-01,8.809406382413901282e-01,3.658900302794041437e-01,8.574061339342530230e-01,6.942734603661798731e-01,7.895488761296518554e-01,1.882913337379286123e-01,1.458884400226624356e-01,1.948624148135728040e-01,7.294688480933075869e-02
9.771106449928315119e-01,4.229880080467922632e-01,1.120291767995499344e-01,5.453447438665116609e-01,3.632135795998238104e-01,6.117998574694200054e-01,7.736568788114079886e-01,6.820927486128379735e-01,9.854115512669957555e-01,7.257935790725267289e-02
8.658501078558641373e-01,2.665896485967242935e-01,2.726672209947006431e-01,1.721039861042973351e-01,3.005948026427628372e-01,3.386274981324669531e-01,4.232548247660371521e-01,6.236282920938197583e-01,4.754790315810694112e-01,1.555551126512986215e-01
9.879928160801454418e-01,7.133524098064599750e-01,5.023909183561140468e-01,5.603981820931488445e-01,6.085622333238166481e-01,1.348166473619328842e-01,5.484500285656687124e-01,4.442500807789095951e-01,7.231994311380690599e-01,6.299419135566133310e-01
9.165459936809152719e-01,1.896879531131420160e-01,7.746027264336807772e-02,4.468458145155290717e-01,4.116332940879002811e-01,1.445546430472059996e-01,2.379279011684645173e-01,3.153573827443101329e-01,3.733771980678677327e-01,5.028634677707177758e-01
9.039073468421834345e-01,3.076885461702436597e-01,4.755718580093478698e-01,9.664367091944522370e-01,3.208497049965531867e-01,6.410836503694227195e-01,5.360331102091514532e-01,1.947619934752420345e-01,4.185906041738527428e-01,8.240162341007706281e-01
7.486227002708635281e-01,5.455703213832419074e-02,9.475996818585792347e-01,6.315999548034052502e-01,2.337167480932533792e-01,1.855274708484812018e-01,3.126032441817002683e-01,9.946121158055185596e-01,3.072691366599065166e-01,9.126849334542478376e-01
5.487521186028330167e-01,4.820993045722699044e-01,5.848525076700771264e-01,7.907809594389193508e-01,9.798995542139348203e-01,3.408863622217028766e-01,2.261241375562089706e-01,6.793649004122356283e-01,4.943085802147967334e-01,4.894419699282507308e-01
9.094244424427568863e-01,5.540628521972773557e-01,2.153416579128787367e-01,6.195127940091130769e-01,1.957092034894117871e-01,1.466809050566962869e-01,9.963708448149716235e-01,8.882160644677465910e-01,4.781213392611365354e-01,4.592069086303884884e-02
9.722286178117989230e-01,3.760082061960833277e-01,6.015871173417208784e-02,5.099828997236740546e-01,3.969076002081792787e-01,3.429113381311130748e-01,8.158100391993873268e-01,7.193620533932898464e-01,9.310484876774990370e-01,8.198033010592533643e-01
7.672813564731122415e-01,7.488896454470713726e-01,7.031052480817655548e-01,5.056826290623933629e-01,2.043540819413759424e-01,4.333881322382209245e-01,6.144063805769944819e-01,9.570195251318724949e-01,8.028702682175204997e-01,7.374763261887051780e-02
8.541070922547866484e-01,5.584240293944254807e-01,7.225361098300552287e-01,8.876239147714175548e-01,1.911984923792209301e-02,4.193017450791274303e-01,7.671519968975448744e-02,9.106014744631252267e-01,3.563372141332296072e-01,6.337019969395910612e-01
1.824204221487254474e-01,4.327617621909384260e-01,9.766777046691925701e-01,9.120467729708546800e-01,4.154088269790212617e-02,4.541171811254226531e-01,5.789313193281900860e-01,9.858793459741338472e-01,9.977281417113695872e-01,7.447657725256893180e-01
6.337759460120619970e-01,5.151145553995917226e-01,1.744253833425885025e-01,1.501638713290499583e-01,8.672879853490740309e-01,3.898929022234171038e-01,9.293464964297590836e-01,1.665560289843347475e-01,3.124668404499766350e-01,8.488334343609893473e-02
